Agile,ˈædʒaɪl,"민첩한,기민한,날렵한"
Astonish,əˈstɑːnɪʃ,"놀라게 하다,깜짝 놀라게 하다,경악시키다"
Cultivate,ˈkʌltɪveɪt,"기르다,재배하다,육성하다"
Diligent,ˈdɪlɪdʒənt,"근면한,성실한,부지런한"
Endurance,ɪnˈdjʊərəns,"인내,참는 힘,지구력"
Evoke,ɪˈvoʊk,"일깨우다,불러일으키다,떠올리다"
Exemplary,ɪɡˈzɛmpləri,"모범적인,본보기가 되는,훌륭한"
Exploit,ˈɛksplɔɪt,"이용하다,착취하다,악용하다"
Fortitude,ˈfɔːrtɪtjuːd,"불굴의 정신,인내심,강인함"
Foster,ˈfɑːstər,"육성하다,조성하다,촉진하다"
Gratitude,ˈɡrætɪtjuːd,"감사,고마움,감사의 마음"
Harmony,ˈhɑːrməni,"조화,화합,조화로움"
Innovative,ˈɪnəˌveɪtɪv,"혁신적인,독창적인,창조적인"
Inspiration,ˌɪnspəˈreɪʃən,"영감,고무,영감을 주는 것"
Integrity,ɪnˈtɛɡrəti,"온전함,정직함,무결함"
Intuition,ˌɪntjuˈɪʃən,"직관,직감,예지"
Jubilant,ˈdʒuːbɪlənt,"환희에 찬,즐거워하는,기뻐하는"
Liberate,ˈlɪbəreɪt,"해방하다,석방하다,자유롭게 하다"
Mastery,ˈmæstəri,"숙달,능력,전문성"
Nurture,ˈnɜːrtʃər,"양육하다,기르다,길러주다"
Optimism,ˈɑːptɪmɪzəm,"낙관주의,낙천적인 태도,희망"
Passion,ˈpæʃən,"열정,정열,열광"
Patience,ˈpeɪʃəns,"인내심,참을성,꾸준함"
Perseverance,ˌpɜːrsəˈvɪərəns,"인내,끈기,불굴의 의지"
Pioneering,ˌpaɪəˈnɪrɪŋ,"개척적인,선구적인,독창적인"
Principle,ˈprɪnsəpl,"원칙,원리,규범"
Proactive,proʊˈæktɪv,"선제적인,적극적인,사전 조치를 취하는"
Prosperity,prɑːˈspɛrəti,"번영,번창,풍요"
Radiant,ˈreɪdiənt,"빛나는,눈부신,환한"
Rejuvenate,rɪˈdʒuːvəˌneɪt,"회복시키다,활기를 되찾다,젊어지다"
Resilience,rɪˈzɪliəns,"탄력,회복력,복구력"
Serenity,səˈrɛnəti,"고요,평온,조용함"
Steadfast,ˈstɛdfæst,"확고한,변함없는,단호한"
Tenacity,təˈnæsɪti,"끈기,고집,불굴의 의지"
Thriving,ˈθraɪvɪŋ,"번영하는,성장하는,번창하는"
Tranquil,ˈtræŋkwɪl,"평온한,고요한,조용한"
Unity,ˈjuːnəti,"단결,통일,화합"
Vibrant,ˈvaɪbrənt,"활기 넘치는,생기가 넘치는,생동감 있는"
Wisdom,ˈwɪzdəm,"지혜,현명함,슬기로움"
Confident,ˈkɑːnfɪdənt,"자신감 있는,확신하는,확고한"
