Ambassador,æmˈbæsədər,"대사,사절,대표자"
Articulate,ɑːrˈtɪkjəleɪt,"구체적으로 말하다,명료하게 표현하다,유창하게 말하다"
Collaboration,kəˌlæbəˈreɪʃən,"협력,협동,공동 작업"
Compassion,kəmˈpæʃən,"동정심,측은한 마음,연민"
Conscious,ˈkɑːnʃəs,"의식적인,자각한,분명한"
Courageous,kəˈreɪdʒəs,"용감한,대담한,용기 있는"
Creative,kriˈeɪtɪv,"창의적인,창조적인,독창적인"
Curiosity,ˌkjʊriˈɑːsəti,"호기심,궁금증,탐구심"
Dedication,ˌdɛdɪˈkeɪʃən,"헌신,전념,바치기"
Empathy,ˈɛmpəθi,"공감,감정이입,이해"
Energetic,ˌɛnərˈdʒɛtɪk,"활기찬,에너지 넘치는,힘찬"
Enthusiasm,ɪnˈθjuːziæzəm,"열정,열망,열광"
Flexibility,ˌflɛksəˈbɪləti,"유연성,융통성,변화에 대한 대처력"
Gracious,ˈɡreɪʃəs,"상냥한,예의 바른,우아한"
Honesty,ˈɑːnɪsti,"정직,성실,솔직함"
Imagination,ɪˌmædʒəˈneɪʃən,"상상력,창의력,공상"
Innovate,ˈɪnəˌveɪt,"혁신하다,새롭게 개발하다,새로운 방법을 찾다"
Insightful,ɪnˈsaɪtfl,"통찰력 있는,깊은 통찰을 주는,내측적인"
Intrepid,ɪnˈtrɛpɪd,"대담한,두려움이 없는,용감한"
Leadership,ˈliːdərʃɪp,"리더십,지도력,리더의 역할"
Motivation,ˌmoʊtɪˈveɪʃən,"동기부여,의지,추진력"
Optimistic,ˌɑːptɪˈmɪstɪk,"낙관적인,긍정적인,희망찬"
Passionate,ˈpæʃənət,"열정적인,정열적인,열렬한"
Persistence,pərˈsɪstəns,"인내,끈기,불굴의 의지"
Resourceful,rɪˈsɔːrsfəl,"창의적인,재빠른 대처력을 가진,문제 해결 능력이 풍부한"
Sincere,sɪnˈsɪr,"진실한,성실한,정성 있는"
Sustainability,səˌsteɪnəˈbɪləti,"지속 가능성,지속가능한 발전,환경 친화성"
Synergy,ˈsɪnərdʒi,"시너지,상호작용,공동효과"
Tenacious,təˈneɪʃəs,"집요한,끈기 있는,완고한"
Tolerance,ˈtɑːlərəns,"관용,인내,너그러움"
Transparency,trænsˈpɛrənsi,"투명성,분명함,솔직함"
Trustworthy,ˈtrʌstwɜːrði,"신뢰할 수 있는,믿을 만한,믿음직한"
Unwavering,ʌnˈweɪvərɪŋ,"동요하지 않는,흔들리지 않는,단호한"
Versatile,ˈvɜːrsətl,"다재다능한,다용도의,유연한"
Vitality,vaɪˈtæləti,"활력,생기,활기"
Wellness,ˈwɛlnəs,"웰니스,건강,웰빙"
Wisdom,ˈwɪzdəm,"지혜,현명함,슬기로움"
Zealous,ˈzɛləs,"열정적인,열렬한,강한 열정을 가진"
Adaptive,əˈdæptɪv,"적응하는,변화에 잘 적응하는,적응력이 뛰어난"
Compassionate,kəmˈpæʃənət,"동정심이 있는,측은한,사려 깊은"
